States,Code_x,Year,Amount,State,Code_y,Poverty,code
United States,52,1999,31479,,,,
United States,52,2000,31773,,,,
United States,52,2001,33244,,,,
United States,52,2002,37787,,,,
United States,52,2003,39128,,,,
United States,52,2004,40716,,,,
United States,52,2005,42636,,,,
United States,52,2006,44651,,,,
United States,52,2007,48712,,,,
United States,52,2008,50720,,,,
United States,52,2009,59697,,,,
United States,52,2010,60594,,,,
United States,52,2011,62953,,,,
United States,52,2012,64222,,,,
United States,52,2013,67277,,,,
United States,52,2014,67720,,,,
United States,52,2015,68062,,,,
United States,52,2016,66144,,,,
United States,52,2017,65290,,,,
United States,52,2018,64061,,,,
Alabama,1,1999,798,Alabama,AL,15.2,al
Alabama,1,2000,819,Alabama,AL,13.3,al
Alabama,1,2001,850,Alabama,AL,15.9,al
Alabama,1,2002,946,Alabama,AL,14.5,al
Alabama,1,2003,981,Alabama,AL,15.0,al
Alabama,1,2004,1023,Alabama,AL,16.9,al
Alabama,1,2005,1090,Alabama,AL,16.7,al
Alabama,1,2006,1140,Alabama,AL,14.3,al
Alabama,1,2007,1221,Alabama,AL,14.5,al
Alabama,1,2008,1237,Alabama,AL,14.3,al
Alabama,1,2009,1395,Alabama,AL,16.6,al
Alabama,1,2010,1380,Alabama,AL,17.2,al
Alabama,1,2011,1414,Alabama,AL,16.2,al
Alabama,1,2012,1418,Alabama,AL,16.2,al
Alabama,1,2013,1438,Alabama,AL,16.7,al
Alabama,1,2014,1445,Alabama,AL,17.8,al
Alabama,1,2015,1445,Alabama,AL,16.3,al
Alabama,1,2016,1392,Alabama,AL,16.2,al
Alabama,1,2017,1378,Alabama,AL,15.0,al
Alabama,1,2018,1349,Alabama,AL,16.0,al
Alaska,2,1999,40,Alaska,AK,7.6,ak
Alaska,2,2000,40,Alaska,AK,7.6,ak
Alaska,2,2001,43,Alaska,AK,8.5,ak
Alaska,2,2002,54,Alaska,AK,8.8,ak
Alaska,2,2003,58,Alaska,AK,9.6,ak
Alaska,2,2004,62,Alaska,AK,9.1,ak
Alaska,2,2005,66,Alaska,AK,10.0,ak
Alaska,2,2006,69,Alaska,AK,8.9,ak
Alaska,2,2007,70,Alaska,AK,7.6,ak
Alaska,2,2008,62,Alaska,AK,8.2,ak
Alaska,2,2009,94,Alaska,AK,11.7,ak
Alaska,2,2010,91,Alaska,AK,12.5,ak
Alaska,2,2011,98,Alaska,AK,10.0,ak
Alaska,2,2012,102,Alaska,AK,10.0,ak
Alaska,2,2013,104,Alaska,AK,10.9,ak
Alaska,2,2014,99,Alaska,AK,11.9,ak
Alaska,2,2015,99,Alaska,AK,9.2,ak
Alaska,2,2016,104,Alaska,AK,12.6,ak
Alaska,2,2017,102,Alaska,AK,14.4,ak
Alaska,2,2018,97,Alaska,AK,13.1,ak
Arizona,3,1999,562,Arizona,AZ,12.2,az
Arizona,3,2000,563,Arizona,AZ,11.7,az
Arizona,3,2001,589,Arizona,AZ,14.6,az
Arizona,3,2002,681,Arizona,AZ,13.5,az
Arizona,3,2003,710,Arizona,AZ,13.5,az
Arizona,3,2004,739,Arizona,AZ,14.4,az
Arizona,3,2005,771,Arizona,AZ,15.2,az
Arizona,3,2006,818,Arizona,AZ,14.4,az
Arizona,3,2007,924,Arizona,AZ,14.3,az
Arizona,3,2008,1001,Arizona,AZ,18.0,az
Arizona,3,2009,1247,Arizona,AZ,21.2,az
Arizona,3,2010,1295,Arizona,AZ,18.8,az
Arizona,3,2011,1381,Arizona,AZ,19.0,az
Arizona,3,2012,1410,Arizona,AZ,19.0,az
Arizona,3,2013,1489,Arizona,AZ,20.2,az
Arizona,3,2014,1523,Arizona,AZ,21.2,az
Arizona,3,2015,1558,Arizona,AZ,17.2,az
Arizona,3,2016,1525,Arizona,AZ,16.1,az
Arizona,3,2017,1505,Arizona,AZ,13.2,az
Arizona,3,2018,1480,Arizona,AZ,12.8,az
Arkansas,4,1999,432,Arkansas,AR,14.7,ar
Arkansas,4,2000,440,Arkansas,AR,16.5,ar
Arkansas,4,2001,458,Arkansas,AR,17.8,ar
Arkansas,4,2002,516,Arkansas,AR,19.8,ar
Arkansas,4,2003,529,Arkansas,AR,17.8,ar
Arkansas,4,2004,546,Arkansas,AR,15.1,ar
Arkansas,4,2005,574,Arkansas,AR,13.8,ar
Arkansas,4,2006,596,Arkansas,AR,17.7,ar
Arkansas,4,2007,638,Arkansas,AR,13.8,ar
Arkansas,4,2008,656,Arkansas,AR,15.3,ar
Arkansas,4,2009,746,Arkansas,AR,18.9,ar
Arkansas,4,2010,741,Arkansas,AR,15.3,ar
Arkansas,4,2011,760,Arkansas,AR,20.1,ar
Arkansas,4,2012,764,Arkansas,AR,20.1,ar
Arkansas,4,2013,789,Arkansas,AR,17.1,ar
Arkansas,4,2014,795,Arkansas,AR,18.4,ar
Arkansas,4,2015,807,Arkansas,AR,16.1,ar
Arkansas,4,2016,790,Arkansas,AR,16.0,ar
Arkansas,4,2017,783,Arkansas,AR,14.8,ar
Arkansas,4,2018,773,Arkansas,AR,15.9,ar
California,5,1999,3869,California,CA,14.0,ca
California,5,2000,3778,California,CA,12.7,ca
California,5,2001,3871,California,CA,12.6,ca
California,5,2002,4319,California,CA,13.1,ca
California,5,2003,4382,California,CA,13.1,ca
California,5,2004,4449,California,CA,13.2,ca
California,5,2005,4576,California,CA,13.2,ca
California,5,2006,4750,California,CA,12.2,ca
California,5,2007,5311,California,CA,12.7,ca
California,5,2008,5481,California,CA,14.6,ca
California,5,2009,6641,California,CA,15.3,ca
California,5,2010,6858,California,CA,16.3,ca
California,5,2011,7251,California,CA,15.9,ca
California,5,2012,7290,California,CA,15.9,ca
California,5,2013,7670,California,CA,14.9,ca
California,5,2014,7748,California,CA,15.8,ca
California,5,2015,7656,California,CA,13.9,ca
California,5,2016,7196,California,CA,13.9,ca
California,5,2017,6995,California,CA,12.4,ca
California,5,2018,6740,California,CA,11.9,ca
Colorado,6,1999,336,Colorado,CO,8.5,co
Colorado,6,2000,330,Colorado,CO,9.8,co
Colorado,6,2001,342,Colorado,CO,8.7,co
Colorado,6,2002,404,Colorado,CO,9.8,co
Colorado,6,2003,426,Colorado,CO,9.7,co
Colorado,6,2004,440,Colorado,CO,10.0,co
Colorado,6,2005,461,Colorado,CO,11.4,co
Colorado,6,2006,483,Colorado,CO,9.7,co
Colorado,6,2007,530,Colorado,CO,9.8,co
Colorado,6,2008,564,Colorado,CO,11.0,co
Colorado,6,2009,704,Colorado,CO,12.3,co
Colorado,6,2010,718,Colorado,CO,12.3,co
Colorado,6,2011,757,Colorado,CO,11.9,co
Colorado,6,2012,775,Colorado,CO,11.9,co
Colorado,6,2013,813,Colorado,CO,10.6,co
Colorado,6,2014,810,Colorado,CO,12.3,co
Colorado,6,2015,815,Colorado,CO,9.9,co
Colorado,6,2016,793,Colorado,CO,8.5,co
Colorado,6,2017,772,Colorado,CO,7.7,co
Colorado,6,2018,745,Colorado,CO,9.1,co
Connecticut,7,1999,214,Connecticut,CT,7.2,ct
Connecticut,7,2000,214,Connecticut,CT,7.7,ct
Connecticut,7,2001,223,Connecticut,CT,7.3,ct
Connecticut,7,2002,251,Connecticut,CT,8.3,ct
Connecticut,7,2003,263,Connecticut,CT,8.1,ct
Connecticut,7,2004,273,Connecticut,CT,10.1,ct
Connecticut,7,2005,286,Connecticut,CT,9.3,ct
Connecticut,7,2006,302,Connecticut,CT,8.0,ct
Connecticut,7,2007,333,Connecticut,CT,8.9,ct
Connecticut,7,2008,346,Connecticut,CT,8.1,ct
Connecticut,7,2009,402,Connecticut,CT,8.4,ct
Connecticut,7,2010,405,Connecticut,CT,8.6,ct
Connecticut,7,2011,432,Connecticut,CT,10.3,ct
Connecticut,7,2012,453,Connecticut,CT,10.3,ct
Connecticut,7,2013,489,Connecticut,CT,11.3,ct
Connecticut,7,2014,497,Connecticut,CT,8.6,ct
Connecticut,7,2015,501,Connecticut,CT,9.1,ct
Connecticut,7,2016,495,Connecticut,CT,9.8,ct
Connecticut,7,2017,493,Connecticut,CT,10.9,ct
Connecticut,7,2018,492,Connecticut,CT,10.2,ct
Delaware,8,1999,78,Delaware,DE,10.4,de
Delaware,8,2000,79,Delaware,DE,8.4,de
Delaware,8,2001,82,Delaware,DE,6.7,de
Delaware,8,2002,94,Delaware,DE,9.1,de
Delaware,8,2003,97,Delaware,DE,7.3,de
Delaware,8,2004,101,Delaware,DE,9.0,de
Delaware,8,2005,108,Delaware,DE,9.2,de
Delaware,8,2006,112,Delaware,DE,9.3,de
Delaware,8,2007,122,Delaware,DE,9.3,de
Delaware,8,2008,128,Delaware,DE,9.6,de
Delaware,8,2009,148,Delaware,DE,12.3,de
Delaware,8,2010,152,Delaware,DE,12.2,de
Delaware,8,2011,159,Delaware,DE,13.5,de
Delaware,8,2012,166,Delaware,DE,13.5,de
Delaware,8,2013,174,Delaware,DE,14.0,de
Delaware,8,2014,178,Delaware,DE,11.0,de
Delaware,8,2015,181,Delaware,DE,11.1,de
Delaware,8,2016,178,Delaware,DE,11.6,de
Delaware,8,2017,177,Delaware,DE,9.2,de
Delaware,8,2018,176,Delaware,DE,7.4,de
District of Columbia,9,1999,84,District of Columbia,DC,14.7,dc
District of Columbia,9,2000,84,District of Columbia,DC,15.2,dc
District of Columbia,9,2001,84,District of Columbia,DC,18.2,dc
District of Columbia,9,2002,89,District of Columbia,DC,17.0,dc
District of Columbia,9,2003,87,District of Columbia,DC,16.8,dc
District of Columbia,9,2004,86,District of Columbia,DC,17.0,dc
District of Columbia,9,2005,88,District of Columbia,DC,21.3,dc
District of Columbia,9,2006,89,District of Columbia,DC,18.3,dc
District of Columbia,9,2007,92,District of Columbia,DC,18.0,dc
District of Columbia,9,2008,94,District of Columbia,DC,16.5,dc
District of Columbia,9,2009,108,District of Columbia,DC,17.9,dc
District of Columbia,9,2010,112,District of Columbia,DC,19.5,dc
District of Columbia,9,2011,128,District of Columbia,DC,18.4,dc
District of Columbia,9,2012,123,District of Columbia,DC,18.4,dc
District of Columbia,9,2013,128,District of Columbia,DC,21.3,dc
District of Columbia,9,2014,130,District of Columbia,DC,19.0,dc
District of Columbia,9,2015,127,District of Columbia,DC,16.6,dc
District of Columbia,9,2016,123,District of Columbia,DC,16.3,dc
District of Columbia,9,2017,121,District of Columbia,DC,13.6,dc
District of Columbia,9,2018,117,District of Columbia,DC,14.7,dc
Florida,10,1999,2118,Florida,FL,12.4,fl
Florida,10,2000,2181,Florida,FL,11.0,fl
Florida,10,2001,2323,Florida,FL,12.7,fl
Florida,10,2002,2680,Florida,FL,12.6,fl
Florida,10,2003,2807,Florida,FL,12.7,fl
Florida,10,2004,2934,Florida,FL,11.6,fl
Florida,10,2005,3054,Florida,FL,11.1,fl
Florida,10,2006,3206,Florida,FL,11.5,fl
Florida,10,2007,3580,Florida,FL,12.5,fl
Florida,10,2008,3825,Florida,FL,13.1,fl
Florida,10,2009,4523,Florida,FL,14.6,fl
Florida,10,2010,4679,Florida,FL,16.0,fl
Florida,10,2011,4841,Florida,FL,15.3,fl
Florida,10,2012,5100,Florida,FL,15.3,fl
Florida,10,2013,5353,Florida,FL,14.9,fl
Florida,10,2014,5404,Florida,FL,16.7,fl
Florida,10,2015,5455,Florida,FL,16.2,fl
Florida,10,2016,5350,Florida,FL,13.0,fl
Florida,10,2017,5431,Florida,FL,13.7,fl
Florida,10,2018,5377,Florida,FL,13.7,fl
Georgia,11,1999,1228,Georgia,GA,12.8,ga
Georgia,11,2000,1271,Georgia,GA,12.1,ga
Georgia,11,2001,1352,Georgia,GA,12.9,ga
Georgia,11,2002,1551,Georgia,GA,11.2,ga
Georgia,11,2003,1643,Georgia,GA,11.9,ga
Georgia,11,2004,1732,Georgia,GA,13.0,ga
Georgia,11,2005,1876,Georgia,GA,14.4,ga
Georgia,11,2006,2010,Georgia,GA,12.6,ga
Georgia,11,2007,2220,Georgia,GA,13.6,ga
Georgia,11,2008,2339,Georgia,GA,15.5,ga
Georgia,11,2009,2689,Georgia,GA,18.4,ga
Georgia,11,2010,2764,Georgia,GA,18.8,ga
Georgia,11,2011,2833,Georgia,GA,18.1,ga
Georgia,11,2012,2901,Georgia,GA,18.1,ga
Georgia,11,2013,3029,Georgia,GA,16.3,ga
Georgia,11,2014,3064,Georgia,GA,16.8,ga
Georgia,11,2015,3098,Georgia,GA,18.1,ga
Georgia,11,2016,2998,Georgia,GA,15.4,ga
Georgia,11,2017,2973,Georgia,GA,13.3,ga
Georgia,11,2018,2945,Georgia,GA,14.8,ga
Hawaii,12,1999,92,Hawaii,HI,10.8,hi
Hawaii,12,2000,94,Hawaii,HI,8.9,hi
Hawaii,12,2001,103,Hawaii,HI,11.4,hi
Hawaii,12,2002,128,Hawaii,HI,11.3,hi
Hawaii,12,2003,133,Hawaii,HI,9.3,hi
Hawaii,12,2004,141,Hawaii,HI,8.6,hi
Hawaii,12,2005,144,Hawaii,HI,8.6,hi
Hawaii,12,2006,151,Hawaii,HI,9.2,hi
Hawaii,12,2007,165,Hawaii,HI,7.5,hi
Hawaii,12,2008,173,Hawaii,HI,9.9,hi
Hawaii,12,2009,213,Hawaii,HI,12.5,hi
Hawaii,12,2010,223,Hawaii,HI,12.4,hi
Hawaii,12,2011,236,Hawaii,HI,13.8,hi
Hawaii,12,2012,240,Hawaii,HI,13.8,hi
Hawaii,12,2013,247,Hawaii,HI,11.1,hi
Hawaii,12,2014,247,Hawaii,HI,10.8,hi
Hawaii,12,2015,239,Hawaii,HI,10.9,hi
Hawaii,12,2016,223,Hawaii,HI,9.3,hi
Hawaii,12,2017,216,Hawaii,HI,10.3,hi
Hawaii,12,2018,209,Hawaii,HI,9.2,hi
Idaho,13,1999,130,Idaho,ID,14.1,id
Idaho,13,2000,130,Idaho,ID,12.5,id
Idaho,13,2001,139,Idaho,ID,11.5,id
