States,Code,Year,Amount,Fips,Area,rate
United States,52,1999,31479,00000,United States,4.2
United States,52,2000,31773,00000,United States,4.0
United States,52,2001,33244,00000,United States,4.7
United States,52,2002,37787,00000,United States,5.8
United States,52,2003,39128,00000,United States,6.0
United States,52,2004,40716,00000,United States,5.5
United States,52,2005,42636,00000,United States,5.1
United States,52,2006,44651,00000,United States,4.6
United States,52,2007,48712,00000,United States,4.6
United States,52,2008,50720,00000,United States,5.8
United States,52,2009,59697,00000,United States,9.3
United States,52,2010,60594,00000,United States,9.6
United States,52,2011,62953,00000,United States,8.9
United States,52,2012,64222,00000,United States,8.1
United States,52,2013,67277,00000,United States,7.4
United States,52,2014,67720,00000,United States,6.2
United States,52,2015,68062,00000,United States,5.3
United States,52,2016,66144,00000,United States,4.9
United States,52,2017,65290,00000,United States,4.4
United States,52,2018,64061,00000,United States,3.9
Alabama,1,1999,798,01000,Alabama,4.7
Alabama,1,2000,819,01000,Alabama,4.6
Alabama,1,2001,850,01000,Alabama,5.1
Alabama,1,2002,946,01000,Alabama,5.9
Alabama,1,2003,981,01000,Alabama,6.0
Alabama,1,2004,1023,01000,Alabama,5.7
Alabama,1,2005,1090,01000,Alabama,4.5
Alabama,1,2006,1140,01000,Alabama,4.0
Alabama,1,2007,1221,01000,Alabama,4.0
Alabama,1,2008,1237,01000,Alabama,5.7
Alabama,1,2009,1395,01000,Alabama,11.0
Alabama,1,2010,1380,01000,Alabama,10.5
Alabama,1,2011,1414,01000,Alabama,9.6
Alabama,1,2012,1418,01000,Alabama,8.0
Alabama,1,2013,1438,01000,Alabama,7.2
Alabama,1,2014,1445,01000,Alabama,6.8
Alabama,1,2015,1445,01000,Alabama,6.1
Alabama,1,2016,1392,01000,Alabama,5.8
Alabama,1,2017,1378,01000,Alabama,4.4
Alabama,1,2018,1349,01000,Alabama,3.9
Alaska,2,1999,40,02000,Alaska,6.5
Alaska,2,2000,40,02000,Alaska,6.4
Alaska,2,2001,43,02000,Alaska,6.4
Alaska,2,2002,54,02000,Alaska,7.3
Alaska,2,2003,58,02000,Alaska,7.8
Alaska,2,2004,62,02000,Alaska,7.5
Alaska,2,2005,66,02000,Alaska,6.9
Alaska,2,2006,69,02000,Alaska,6.6
Alaska,2,2007,70,02000,Alaska,6.3
Alaska,2,2008,62,02000,Alaska,6.7
Alaska,2,2009,94,02000,Alaska,7.7
Alaska,2,2010,91,02000,Alaska,7.9
Alaska,2,2011,98,02000,Alaska,7.6
Alaska,2,2012,102,02000,Alaska,7.1
Alaska,2,2013,104,02000,Alaska,7.0
Alaska,2,2014,99,02000,Alaska,6.9
Alaska,2,2015,99,02000,Alaska,6.5
Alaska,2,2016,104,02000,Alaska,6.9
Alaska,2,2017,102,02000,Alaska,7.0
Alaska,2,2018,97,02000,Alaska,6.6
Arizona,3,1999,562,04000,Arizona,4.4
Arizona,3,2000,563,04000,Arizona,4.0
Arizona,3,2001,589,04000,Arizona,4.8
Arizona,3,2002,681,04000,Arizona,6.1
Arizona,3,2003,710,04000,Arizona,5.7
Arizona,3,2004,739,04000,Arizona,5.0
Arizona,3,2005,771,04000,Arizona,4.7
Arizona,3,2006,818,04000,Arizona,4.2
Arizona,3,2007,924,04000,Arizona,3.9
Arizona,3,2008,1001,04000,Arizona,6.2
Arizona,3,2009,1247,04000,Arizona,9.9
Arizona,3,2010,1295,04000,Arizona,10.4
Arizona,3,2011,1381,04000,Arizona,9.5
Arizona,3,2012,1410,04000,Arizona,8.3
Arizona,3,2013,1489,04000,Arizona,7.7
Arizona,3,2014,1523,04000,Arizona,6.8
Arizona,3,2015,1558,04000,Arizona,6.1
Arizona,3,2016,1525,04000,Arizona,5.4
Arizona,3,2017,1505,04000,Arizona,4.9
Arizona,3,2018,1480,04000,Arizona,4.8
Arkansas,4,1999,432,05000,Arkansas,4.6
Arkansas,4,2000,440,05000,Arkansas,4.3
Arkansas,4,2001,458,05000,Arkansas,5.0
Arkansas,4,2002,516,05000,Arkansas,5.5
Arkansas,4,2003,529,05000,Arkansas,5.9
Arkansas,4,2004,546,05000,Arkansas,5.7
Arkansas,4,2005,574,05000,Arkansas,5.2
Arkansas,4,2006,596,05000,Arkansas,5.2
Arkansas,4,2007,638,05000,Arkansas,5.3
Arkansas,4,2008,656,05000,Arkansas,5.5
Arkansas,4,2009,746,05000,Arkansas,7.8
Arkansas,4,2010,741,05000,Arkansas,8.2
Arkansas,4,2011,760,05000,Arkansas,8.3
Arkansas,4,2012,764,05000,Arkansas,7.6
Arkansas,4,2013,789,05000,Arkansas,7.2
Arkansas,4,2014,795,05000,Arkansas,6.0
Arkansas,4,2015,807,05000,Arkansas,5.0
Arkansas,4,2016,790,05000,Arkansas,4.0
Arkansas,4,2017,783,05000,Arkansas,3.7
Arkansas,4,2018,773,05000,Arkansas,3.7
California,5,1999,3869,06000,California,5.2
California,5,2000,3778,06000,California,4.9
California,5,2001,3871,06000,California,5.4
California,5,2002,4319,06000,California,6.7
California,5,2003,4382,06000,California,6.8
California,5,2004,4449,06000,California,6.2
California,5,2005,4576,06000,California,5.4
California,5,2006,4750,06000,California,4.9
California,5,2007,5311,06000,California,5.4
California,5,2008,5481,06000,California,7.3
California,5,2009,6641,06000,California,11.2
California,5,2010,6858,06000,California,12.2
California,5,2011,7251,06000,California,11.7
California,5,2012,7290,06000,California,10.4
California,5,2013,7670,06000,California,8.9
California,5,2014,7748,06000,California,7.5
California,5,2015,7656,06000,California,6.2
California,5,2016,7196,06000,California,5.5
California,5,2017,6995,06000,California,4.8
California,5,2018,6740,06000,California,4.2
Colorado,6,1999,336,08000,Colorado,3.1
Colorado,6,2000,330,08000,Colorado,2.8
Colorado,6,2001,342,08000,Colorado,3.8
Colorado,6,2002,404,08000,Colorado,5.5
Colorado,6,2003,426,08000,Colorado,6.0
Colorado,6,2004,440,08000,Colorado,5.5
Colorado,6,2005,461,08000,Colorado,5.0
Colorado,6,2006,483,08000,Colorado,4.3
Colorado,6,2007,530,08000,Colorado,3.7
Colorado,6,2008,564,08000,Colorado,4.8
Colorado,6,2009,704,08000,Colorado,7.3
Colorado,6,2010,718,08000,Colorado,8.7
Colorado,6,2011,757,08000,Colorado,8.4
Colorado,6,2012,775,08000,Colorado,7.9
Colorado,6,2013,813,08000,Colorado,6.9
Colorado,6,2014,810,08000,Colorado,5.0
Colorado,6,2015,815,08000,Colorado,3.9
Colorado,6,2016,793,08000,Colorado,3.2
Colorado,6,2017,772,08000,Colorado,2.7
Colorado,6,2018,745,08000,Colorado,3.3
Connecticut,7,1999,214,09000,Connecticut,2.9
Connecticut,7,2000,214,09000,Connecticut,2.4
Connecticut,7,2001,223,09000,Connecticut,3.1
Connecticut,7,2002,251,09000,Connecticut,4.3
Connecticut,7,2003,263,09000,Connecticut,5.4
Connecticut,7,2004,273,09000,Connecticut,5.0
Connecticut,7,2005,286,09000,Connecticut,4.9
Connecticut,7,2006,302,09000,Connecticut,4.3
Connecticut,7,2007,333,09000,Connecticut,4.5
Connecticut,7,2008,346,09000,Connecticut,5.7
