year,state_id,fed_marg,fed_avg,fed_elas,st_marg,st_avg,st_elas,c_marg,c_avg,c_elas,state_abv,State,Code,Year,Poverty,code,C_avg
1960,52,0.2364,0.1359,1.7709,0,0,0,0.2364,0.1359,0,us,,,,,,13.59
1961,52,0.2395,0.1382,1.7636,0,0,0,0.2395,0.1382,0,us,,,,,,13.82
1962,52,0.2414,0.1388,1.7694,0,0,0,0.2414,0.1388,0,us,,,,,,13.88
1963,52,0.2458,0.1422,1.7592,0,0,0,0.2458,0.1422,0,us,,,,,,14.22
1964,52,0.2254,0.1288,1.7807,0,0,0,0.2254,0.1288,0,us,,,,,,12.88
1965,52,0.2185,0.1247,1.7828,0,0,0,0.2185,0.1247,0,us,,,,,,12.47
1966,52,0.2227,0.129,1.7563,0,0,0,0.2227,0.129,0,us,,,,,,12.9
1967,52,0.2247,0.1263,1.8111,0,0,0,0.2247,0.1263,0,us,,,,,,12.63
1968,52,0.2552,0.1507,1.7226,0,0,0,0.2552,0.1507,0,us,,,,,,15.07
1969,52,0.2597,0.1471,1.7977,0,0,0,0.2597,0.1471,0,us,,,,,,14.71
1970,52,0.251,0.1464,1.7446,0,0,0,0.251,0.1464,0,us,,,,,,14.64
1971,52,0.2374,0.1287,1.8789,0,0,0,0.2374,0.1287,0,us,,,,,,12.87
1972,52,0.2432,0.1374,1.802,0,0,0,0.2432,0.1374,0,us,,,,,,13.74
1973,52,0.2513,0.1426,1.7942,0,0,0,0.2513,0.1426,0,us,,,,,,14.26
1974,52,0.2588,0.144,1.8306,0,0,0,0.2588,0.144,0,us,,,,,,14.4
1975,52,0.2653,0.1415,1.9101,0,0,0,0.2653,0.1415,0,us,,,,,,14.15
1976,52,0.2725,0.1398,1.9885,0,0,0,0.2725,0.1398,0,us,,,,,,13.98
1977,1,0.7368,0.5577,1.3388,0.0199,0.0237,0.8477,0.7566,0.5813,1.3187,al,,,,,,58.13
1977,4,0.7076,0.5144,1.3948,0.0735,0.0572,1.3022,0.7811,0.5716,1.3855,ar,,,,,,57.16
1977,5,0.6685,0.5128,1.3208,0.1348,0.1127,1.2105,0.8033,0.6255,1.3009,ca,,,,,,62.55
1977,6,0.6974,0.5138,1.3761,0.0386,0.0384,1.0153,0.736,0.5522,1.3509,co,,,,,,55.22
1977,7,0.6668,0.5133,1.316,0.036,0.0363,1.0008,0.7028,0.5496,1.2952,ct,,,,,,54.96
