year,state_id,fed_marg,fed_avg,fed_elas,st_marg,st_avg,st_elas,c_marg,c_avg,c_elas,state_abv
1960,52,0.2364,0.1359,1.7709,0.0,0.0,0.0,0.2364,0.1359,0.0,us
1961,52,0.2395,0.1382,1.7636,0.0,0.0,0.0,0.2395,0.1382,0.0,us
1962,52,0.2414,0.1388,1.7694,0.0,0.0,0.0,0.2414,0.1388,0.0,us
1963,52,0.2458,0.1422,1.7592,0.0,0.0,0.0,0.2458,0.1422,0.0,us
1964,52,0.2254,0.1288,1.7807,0.0,0.0,0.0,0.2254,0.1288,0.0,us
1965,52,0.2185,0.1247,1.7828,0.0,0.0,0.0,0.2185,0.1247,0.0,us
1966,52,0.2227,0.129,1.7563,0.0,0.0,0.0,0.2227,0.129,0.0,us
1967,52,0.2247,0.1263,1.8111,0.0,0.0,0.0,0.2247,0.1263,0.0,us
1968,52,0.2552,0.1507,1.7226,0.0,0.0,0.0,0.2552,0.1507,0.0,us
1969,52,0.2597,0.1471,1.7977,0.0,0.0,0.0,0.2597,0.1471,0.0,us
1970,52,0.251,0.1464,1.7446,0.0,0.0,0.0,0.251,0.1464,0.0,us
1971,52,0.2374,0.1287,1.8789,0.0,0.0,0.0,0.2374,0.1287,0.0,us
1972,52,0.2432,0.1374,1.802,0.0,0.0,0.0,0.2432,0.1374,0.0,us
1973,52,0.2513,0.1426,1.7942,0.0,0.0,0.0,0.2513,0.1426,0.0,us
1974,52,0.2588,0.144,1.8306,0.0,0.0,0.0,0.2588,0.144,0.0,us
1975,52,0.2653,0.1415,1.9101,0.0,0.0,0.0,0.2653,0.1415,0.0,us
1976,52,0.2725,0.1398,1.9885,0.0,0.0,0.0,0.2725,0.1398,0.0,us
1977,52,0.2801,0.1458,1.9596,0.0009,0.0008,1.1129,0.2811,0.1466,1.9547,us
1978,52,0.2826,0.1426,2.0221,0.001,0.0009,1.1715,0.2836,0.1434,2.0169,us
1979,52,0.2874,0.1488,1.9692,0.0438,0.0264,1.6904,0.3312,0.1752,1.9271,us
1980,52,0.3049,0.1582,1.9648,0.0428,0.0255,1.7047,0.3477,0.1838,1.9286,us
1981,52,0.312,0.1622,1.9611,0.0428,0.0257,1.6922,0.3548,0.1879,1.9242,us
1982,52,0.2948,0.153,1.9645,0.0447,0.0267,1.6988,0.3394,0.1797,1.9248,us
1983,52,0.2747,0.1447,1.9356,0.0485,0.0294,1.6776,0.3232,0.1741,1.892,us
1984,52,0.2711,0.1434,1.9264,0.0483,0.0293,1.6763,0.3194,0.1728,1.8839,us
1985,52,0.2733,0.1447,1.9256,0.0479,0.0288,1.6917,0.3212,0.1734,1.8867,us
1986,52,0.2807,0.152,1.8819,0.0485,0.0297,1.6604,0.3292,0.1817,1.8456,us
1987,52,0.2429,0.1364,1.8132,0.0484,0.0301,1.6365,0.2913,0.1664,1.7812,us
1988,52,0.228,0.136,1.7052,0.0435,0.0284,1.554,0.2715,0.1644,1.679,us
1989,52,0.229,0.1349,1.7266,0.044,0.0286,1.564,0.2731,0.1635,1.6981,us
1990,52,0.2271,0.1329,1.7384,0.0488,0.0313,1.5865,0.2759,0.1641,1.7095,us
1991,52,0.228,0.1311,1.7698,0.0526,0.0336,1.5901,0.2806,0.1647,1.7331,us
1992,52,0.2288,0.1334,1.745,0.0466,0.0307,1.5421,0.2754,0.1641,1.707,us
1993,52,0.2372,0.137,1.7614,0.0465,0.0308,1.5332,0.2837,0.1678,1.7195,us
1994,52,0.2419,0.1371,1.797,0.046,0.0308,1.5155,0.2879,0.1679,1.7452,us
1995,52,0.2457,0.14,1.7868,0.0457,0.0308,1.5032,0.2914,0.1708,1.7355,us
1996,52,0.2494,0.1434,1.7701,0.045,0.0307,1.4894,0.2944,0.174,1.7205,us
1997,52,0.2491,0.1452,1.7452,0.0453,0.0311,1.4774,0.2944,0.1763,1.6978,us
1998,52,0.2529,0.1427,1.805,0.0452,0.031,1.4794,0.2982,0.1737,1.7467,us
1999,52,0.257,0.1471,1.7785,0.0453,0.0314,1.4618,0.3023,0.1785,1.7226,us
2000,52,0.2618,0.1531,1.7398,0.0455,0.0319,1.446,0.3073,0.185,1.689,us
2001,52,0.2544,0.1361,1.9042,0.045,0.0303,1.5074,0.2994,0.1665,1.8317,us
2002,52,0.2482,0.1286,1.9676,0.0446,0.0295,1.5334,0.2928,0.1581,1.8863,us
2003,52,0.2198,0.1148,1.9526,0.0453,0.0303,1.5213,0.2651,0.145,1.8623,us
2004,52,0.2203,0.1174,1.9119,0.0463,0.0316,1.4887,0.2666,0.149,1.8219,us
2005,52,0.2239,0.1221,1.8686,0.0471,0.0326,1.4653,0.271,0.1547,1.7833,us
2006,52,0.2203,0.1211,1.853,0.0449,0.0306,1.4859,0.2651,0.1517,1.7787,us
2007,52,0.2236,0.1249,1.823,0.0449,0.0313,1.4562,0.2685,0.1562,1.7493,us
2008,52,0.2243,0.1201,1.9036,0.0452,0.0308,1.4869,0.2695,0.1509,1.8182,us
2009,52,0.2289,0.1068,2.1896,0.0,0.0,0.0,0.2289,0.1068,2.7798,us
2010,52,0.2308,0.1123,2.0989,0.0,0.0,0.0,0.2308,0.1123,2.4961,us
2011,52,0.2307,0.1216,1.9332,0.0,0.0,0.0,0.2307,0.1216,2.2168,us
2012,52,0.2326,0.1284,1.8446,0.0,0.0,0.0,0.2326,0.1284,1.9365,us
