state,year,income,taxsngl,taxjnt,taxfam,tax65,mtr_wage,mtr_int,mtr_amt,mtr_lcg,mtr_gift,mtr_fed,mtr_ptx,mtr_pt65,code,state_id,fed_marg,fed_avg,fed_elas,st_marg,st_avg,st_elas,c_marg,c_avg,c_elas,state_abv,Fips,State,Abbrev,rate
1,1977,1,94.37,12.17,0,102.84,0,0,0,0,0,0,0,0,al,1,0.7368,0.5577,1.3388,0.0199,0.0237,0.8477,0.7566,0.5813,1.3187,al,,,,
1,1978,1,103.29,20.41,0,111.43,0,0,0,0,0,0,0,0,al,1,0.6899,0.4747,1.4748,0.0205,0.0266,0.7761,0.7104,0.5013,1.4375,al,,,,
1,1979,1,116.03,29.41,9.04,125.56,1.5,1.5,0.6,0,-1.5,0,0,0,al,1,0.2867,0.1522,1.9196,0.0333,0.0239,1.4122,0.32,0.1762,1.8504,al,,,,
1,1980,1,126.3,45.67,19.72,135.41,1.5,1.5,0.6,0,-1.5,0,0,0,al,1,0.3119,0.169,1.8809,0.0329,0.0246,1.3539,0.3449,0.1936,1.8135,al,1000,Alabama,Ala.,8.9
1,1981,1,136.09,65.36,31.2,145.9,3,3,1.2,0,-3,0,0,0,al,1,0.3146,0.1686,1.9017,0.0333,0.0248,1.361,0.3478,0.1933,1.832,al,1000,Alabama,Ala.,10.6
1,1982,1,174.68,69.83,31.34,184.79,1.6,1.6,0.64,0,0,0,0,0,al,1,0.3094,0.1758,1.7918,0.0326,0.0233,1.4159,0.342,0.1991,1.7476,al,1000,Alabama,Ala.,14.1
1,1983,1,179.4,77.86,38.03,188.74,3.2,3.2,1.28,0,0,0,0,0,al,1,0.2848,0.1574,1.8421,0.0341,0.0244,1.4193,0.3189,0.1818,1.7853,al,1000,Alabama,Ala.,13.8
1,1984,1,183.65,84.89,47.73,194.39,3.2,3.2,1.28,0,0,0,0,0,al,1,0.3005,0.178,1.7178,0.0334,0.0245,1.3804,0.3339,0.2025,1.6768,al,1000,Alabama,Ala.,11
1,1985,1,190.49,92.76,56.18,201.15,3.2,3.2,1.28,0,0,0,0,0,al,1,0.2932,0.1668,1.7891,0.0344,0.0251,1.3876,0.3276,0.192,1.7364,al,1000,Alabama,Ala.,9.2
1,1986,1,189.55,98.7,61.43,200.05,3.2,3.2,1.28,0,0,0,0,-5,al,1,0.3186,0.1956,1.6555,0.0333,0.0251,1.3438,0.3519,0.2207,1.6199,al,1000,Alabama,Ala.,9.7
1,1987,1,198.95,104.81,67.92,206.11,3.2,3.2,3.2,0,0,0,0,-5,al,1,0.2691,0.1751,1.5607,0.0358,0.0287,1.2625,0.3049,0.2038,1.5187,al,1000,Alabama,Ala.,8.1
1,1988,1,202.48,112.09,76.45,210.83,3.2,3.2,3.2,0,0,0,0,-5,al,1,0.2428,0.1728,1.4253,0.0369,0.0306,1.2195,0.2796,0.2033,1.3943,al,1000,Alabama,Ala.,7.2
1,1989,1,209.27,119.91,85.6,217.31,3.2,3.2,3.2,0,0,0,0,-5,al,1,0.242,0.1661,1.4791,0.0377,0.0307,1.2422,0.2797,0.1968,1.442,al,1000,Alabama,Ala.,7
